X,Y,x_m,y_m,dist_to_goal,shot_angle_rad,shot_angle_deg,minute,is_goal,sit_DirectFreekick,sit_FromCorner,sit_OpenPlay,sit_Penalty,sit_SetPiece,type_Head,type_LeftFoot,type_OtherBodyPart,type_RightFoot,act_Aerial,act_BallRecovery,act_BallTouch,act_BlockedPass,act_Chipped,act_CornerAwarded,act_Cross,act_Dispossessed,act_Foul,act_HeadPass,act_LayOff,act_OffsidePass,act_Pass,act_Rebound,act_Standard,act_Tackle,act_TakeOn,act_Throughball,act_Unknown,ha_a,ha_h
0.7780000305175782,0.434000015258789,81.6900032043457,29.512001037597653,23.738114611315243,0.3007672065255658,17.232691549854515,59,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.755,0.3370000076293945,79.275,22.91600051879883,28.011259691403875,0.23947743260040655,13.721046176631926,60,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.7859999847412109,0.6809999847412109,82.52999839782714,46.307998962402344,25.62006655846444,0.25043437852434935,14.34883293442692,61,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
0.905,0.575,95.025,39.099999999999994,11.20315245812534,0.5772665428795273,33.07493656110468,72,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.825,0.5790000152587891,86.625,39.372001037597656,19.144164127690463,0.36395276929535886,20.8529576227226,21,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.8480000305175781,0.4720000076293945,89.0400032043457,32.096000518798824,16.073167445830645,0.44503065471374437,25.498378269041368,36,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False
0.78,0.3679999923706055,81.9,25.023999481201173,24.782626683091454,0.2743552929286336,15.719400371886104,81,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
0.8959999847412109,0.504000015258789,94.07999839782714,34.272001037597654,10.923388648030063,0.646459925791317,37.039425372182855,17,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.8969999694824219,0.62,94.1849967956543,42.16,13.548058691561964,0.43547063786365836,24.950629651457486,23,0,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
0.8919999694824219,0.664000015258789,93.6599967956543,45.15200103759766,15.904804299869587,0.3335488688067893,19.11094244399182,25,0,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
